time,LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,EDC
2022-08-27 00:00:00,12.1469898,No Data,2517.0183105,102.3000031,105.3357544,1411.5505371,1463.015625,49.900631,
2022-08-27 00:10:00,12.2876043,No Data,2489.0551758,102.6291122,105.3123627,1397.2432861,1421.9483643,50.0144653,
2022-08-27 00:20:00,12.2484703,No Data,2534.3388672,102.6879349,105.2889709,1364.3388672,1395.9898682,50.1946869,
2022-08-27 00:30:00,12.3229132,No Data,2559.0,102.3762436,105.2655716,1391.9034424,1443.3574219,50.0,0.0
2022-08-27 00:40:00,12.2796011,No Data,2544.8078613,102.5999985,105.2421799,1375.645874,1403.8272705,49.9924469,
2022-08-27 00:50:00,12.340868,No Data,2494.6096191,102.5999985,105.2187881,1340.8579102,1374.5817871,50.0,
2022-08-27 01:00:00,12.3317699,No Data,2552.0,102.0999985,105.4825134,1477.8787842,1525.2724609,49.5632515,
2022-08-27 01:10:00,12.3181934,No Data,2519.390625,102.5999985,105.1075287,1333.5449219,1376.5996094,49.8652687,
2022-08-27 01:20:00,12.1318636,No Data,2523.0524902,102.5999985,105.0586243,1306.2740479,1357.5765381,49.8953133,
2022-08-27 01:30:00,12.1020851,No Data,2546.2824707,102.4000015,105.1408157,1416.3605957,1451.0375977,50.0798569,
2022-08-27 01:40:00,12.1720991,No Data,2500.402832,102.5461578,105.1899948,1368.2635498,1378.6514893,49.9921303,
2022-08-27 01:50:00,12.1847591,No Data,2556.1367188,102.5372925,105.1542816,1320.1665039,1393.4230957,50.1723061,
2022-08-27 02:00:00,12.1118698,No Data,2496.1552734,102.5419922,105.1185684,1357.102417,1396.2711182,49.9049721,
2022-08-27 02:10:00,12.188858,No Data,2513.4067383,102.5,105.0828552,1327.1032715,1368.0068359,50.0,
