SAMPLED_DATE,RESULT_VALUE,COMPONENT_NAME
2023-12-23 00:30:00,0.0,EDC
2023-12-23 09:00:00,0.0,EDC
2023-12-23 16:30:00,0.05,EDC
2023-12-24 00:30:00,0.0,EDC
2023-12-24 09:00:00,0.0,EDC
2023-12-24 16:30:00,0.18,EDC
2023-12-25 00:30:00,0.0,EDC
2023-12-25 09:00:00,0.0,EDC
2023-12-25 16:30:00,0.0,EDC
2023-12-26 00:30:00,0.0,EDC
2023-12-26 09:00:00,0.0,EDC
2023-12-26 16:30:00,0.0,EDC
2023-12-27 00:30:00,0.19,EDC
2023-12-27 09:00:00,0.0,EDC
2023-12-27 16:30:00,0.35,EDC
2023-12-28 00:30:00,0.27,EDC
2023-12-28 09:00:00,0.0,EDC
2023-12-28 16:30:00,0.3,EDC
2023-12-29 00:30:00,0.21,EDC
2023-12-29 09:00:00,0.0,EDC
2023-12-29 16:30:00,0.0,EDC
2023-12-30 00:30:00,0.27,EDC
2023-12-30 09:00:00,0.31,EDC
2023-12-30 16:30:00,0.0,EDC
2023-12-31 00:30:00,0.0,EDC
2023-12-31 09:00:00,0.0,EDC
2023-12-31 16:30:00,0.31,EDC
2024-01-01 00:30:00,0.0,EDC
2024-01-01 09:00:00,0.0,EDC
2024-01-01 16:30:00,0.37,EDC
2024-01-02 01:21:08,0.0,EDC
2024-01-02 09:00:00,0.0,EDC
2024-01-02 16:30:00,0.25,EDC
2024-01-03 00:30:00,0.0,EDC
2024-01-03 09:00:00,0.0,EDC
2024-01-03 16:30:00,0.0,EDC
2024-01-04 00:30:00,0.0,EDC
2024-01-04 09:00:00,0.0,EDC
2024-01-04 16:30:00,0.0,EDC
2024-01-05 01:30:00,0.0,EDC
2024-01-05 09:00:00,0.0,EDC
2024-01-05 16:30:00,0.0,EDC
2024-01-06 00:30:00,0.18,EDC
2024-01-06 09:00:00,0.28,EDC
2024-01-06 16:30:00,0.0,EDC
2024-01-07 00:30:00,0.13,EDC
2024-01-07 09:00:00,0.0,EDC
2024-01-07 16:30:00,0.0,EDC
2024-01-08 00:30:00,0.04,EDC
2024-01-08 09:00:00,0.0,EDC
2024-01-08 16:30:00,0.0,EDC
2024-01-09 00:30:00,0.0,EDC
2024-01-09 09:00:00,0.0,EDC
2024-01-09 16:30:00,0.04,EDC
2024-01-10 00:30:00,0.0,EDC
2024-01-10 09:00:00,0.0,EDC
2024-01-10 16:30:00,0.02,EDC
2024-01-11 00:30:00,0.0,EDC
2024-01-11 09:00:00,0.0,EDC
2024-01-11 16:30:00,0.01,EDC
2024-01-12 00:30:00,0.0,EDC
2024-01-12 09:00:00,0.0,EDC
2024-01-12 16:30:00,0.0,EDC
2024-01-13 00:30:00,0.0,EDC
2024-01-13 09:00:00,0.0,EDC
2024-01-13 16:30:00,0.0,EDC
2024-01-14 00:30:00,0.0,EDC
2024-01-14 09:00:00,0.0,EDC
2024-01-14 16:30:00,0.0,EDC
2024-01-15 00:30:00,0.01,EDC
2024-01-15 09:00:00,0.0,EDC
2024-01-15 16:30:00,0.0,EDC
2024-01-16 00:30:00,0.01,EDC
