"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,2200,700,1100,102.684804,102.879821,0.530086545,OK
50,10,2200,700,1200,102.870763,103.12855,0.542592104,OK
50,10,2200,700,1300,103.05597,103.375503,0.555453511,OK
50,10,2200,800,900,102.386426,102.37692,0.515922068,OK
50,10,2200,800,1000,102.573707,102.629286,0.527969,OK
50,10,2200,800,1100,102.760211,102.87982,0.540356924,OK
50,10,2200,800,1200,102.94595,103.128549,0.553096039,OK
50,10,2200,800,1300,103.13094,103.375502,0.566196786,OK
50,10,2200,800,1400,103.315194,103.620707,0.579669942,OK
50,10,2200,900,1000,102.648924,102.629287,0.538126489,OK
50,10,2200,900,1100,102.835209,102.879819,0.550744477,OK
50,10,2200,900,1200,103.020733,103.128548,0.563719245,OK
50,10,2200,900,1300,103.205508,103.375501,0.577061473,OK
50,10,2200,900,1400,103.389548,103.620706,0.590782092,OK
50,10,2200,900,1500,103.572867,103.86419,0.604892392,OK
50,10,2200,1000,1100,102.909808,102.87982,0.561249455,OK
50,10,2200,1000,1200,103.095117,103.128547,0.57446207,OK
50,10,2200,1000,1300,103.279679,103.3755,0.588047926,OK
50,10,2200,1000,1400,103.463509,103.620705,0.602018203,OK
50,10,2200,1000,1500,103.646618,103.86419,0.616384353,OK
50,10,2200,1000,1600,103.829021,104.10598,0.631158206,OK
50,10,2200,1100,1200,103.16911,103.128548,0.585324781,OK
50,10,2200,1100,1300,103.353462,103.375499,0.599156513,OK
50,10,2200,1100,1400,103.537083,103.620704,0.613378651,OK
50,10,2200,1100,1500,103.719985,103.864189,0.628002905,OK
50,10,2200,1100,1600,103.902183,104.105979,0.643041275,OK
50,10,2200,1100,1700,104.083688,104.346102,0.658506158,OK
50,10,2200,1200,1300,103.426863,103.3755,0.610387518,OK
50,10,2200,1200,1400,103.610277,103.620703,0.624863825,OK
50,10,2200,1200,1500,103.792975,103.864188,0.639748447,OK
50,10,2200,1200,1600,103.974969,104.105978,0.655053652,OK
50,10,2200,1200,1700,104.156273,104.346101,0.670792016,OK
50,10,2200,1200,1800,104.336898,104.584582,0.686976536,OK
50,10,2200,1300,1400,103.683098,103.620703,0.636474032,OK
50,10,2200,1300,1500,103.865592,103.864187,0.651621394,OK
50,10,2200,1300,1600,104.047386,104.105977,0.667195763,OK
50,10,2200,1300,1700,104.22849,104.3461,0.683209996,OK
50,10,2200,1300,1800,104.408918,104.584581,0.699677276,OK
50,10,2200,1300,1900,104.588681,104.821444,0.71661123,OK
50,10,2200,1400,1500,103.937846,103.864187,0.663622077,OK
50,10,2200,1400,1600,104.11944,104.105976,0.679468053,OK
50,10,2200,1400,1700,104.300347,104.346099,0.695760555,OK
50,10,2200,1400,1800,104.480579,104.58458,0.712513055,OK
50,10,2200,1400,1900,104.660148,104.821443,0.72973938,OK
