time,LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,EDC
2023-12-23 00:30:00,14.9828272,110.2658081,1796.192749,102.1999969,105.7725677,1465.2429199,1490.7492676,50.6552315,0.0
2023-12-23 00:40:00,14.9722805,110.24897,1807.4260254,102.1999969,105.7696991,1451.8668213,1486.0825195,50.1666298,
2023-12-23 00:50:00,14.8703957,110.2321243,1818.8934326,102.1999969,105.7668381,1438.4908447,1481.4156494,49.964962,
2023-12-23 01:00:00,15.0076694,110.2152863,1812.7906494,102.1999969,105.7639694,1411.6719971,1479.454834,49.7918434,
2023-12-23 01:10:00,14.9453278,110.1984406,1822.7750244,102.1048889,105.7611084,1425.4099121,1467.7675781,49.7988052,
2023-12-23 01:20:00,14.9660664,110.1816025,1803.8973389,102.1791992,105.7582474,1417.2789307,1459.9677734,50.2999992,
2023-12-23 01:30:00,14.9778557,110.1647568,1785.199707,102.0999985,105.7553787,1415.9387207,1458.1383057,50.3950081,
2023-12-23 01:40:00,14.9887733,110.1479187,1812.2041016,102.1392059,105.7525177,1444.8197021,1470.8656006,49.6574249,
2023-12-23 01:50:00,15.01085,110.131073,1790.7871094,102.1999969,105.749649,1467.1759033,1497.3736572,49.7118797,
2023-12-23 02:00:00,15.0720825,110.1142349,1784.9892578,102.1999969,105.746788,1446.6994629,1472.2978516,49.8987312,
2023-12-23 02:10:00,14.9531202,110.0973892,1814.7445068,102.1949387,105.743927,1479.5460205,1473.2738037,50.3907089,
2023-12-23 02:20:00,14.9626617,110.0805511,1815.3773193,102.2693863,105.7410583,1452.2731934,1451.6707764,50.1140289,
2023-12-23 02:30:00,15.0174904,110.0637054,1798.5427246,102.1999969,105.7381973,1425.0003662,1472.6523438,49.9860764,
2023-12-23 02:40:00,15.0220518,110.0468674,1773.8984375,102.1999969,105.7353287,1477.8469238,1493.6337891,49.7000008,
2023-12-23 02:50:00,15.0763855,110.0300217,1784.5137939,102.2877731,105.7324677,1469.7947998,1452.1252441,49.6789551,
2023-12-23 03:00:00,14.9846354,110.0131836,1782.6879883,102.1999969,105.729599,1457.6363525,1474.8005371,50.3100433,
2023-12-23 03:10:00,14.9627275,109.9963379,1786.6777344,102.1999969,105.726738,1474.222168,1493.8044434,50.3946304,
2023-12-23 03:20:00,14.9787102,109.9794998,1801.8431396,102.1999969,105.723877,1449.152832,1477.0675049,50.0,
2023-12-23 03:30:00,15.0565166,109.9626541,1807.5819092,102.1999969,105.7210083,1424.0834961,1460.3306885,49.7999992,
2023-12-23 03:40:00,14.9722567,109.9458084,1798.0,102.1999969,105.7181473,1441.2011719,1443.2614746,50.0118752,
2023-12-23 03:50:00,14.9638386,109.9289703,1796.5289307,102.1999969,105.7152786,1425.357666,1456.1040039,50.3243256,
2023-12-23 04:00:00,15.0587044,109.9121246,1788.3769531,102.1999969,105.7124176,1421.6873779,1471.6263428,49.8512878,
2023-12-23 04:10:00,15.0501976,109.9076614,1777.90625,102.2181473,105.7095566,1427.9735107,1457.4830322,50.0,
2023-12-23 04:20:00,15.0134916,109.9350204,1811.5269775,102.2764053,105.7066879,1406.5983887,1436.6202393,49.820137,
2023-12-23 04:30:00,14.9804049,109.9623795,1794.1490479,102.321846,105.7038269,1404.7849121,1462.2094727,50.2999992,
2023-12-23 04:40:00,14.9090738,109.9897385,1817.0559082,102.3959274,105.7009583,1416.0803223,1451.7735596,50.2236633,
2023-12-23 04:50:00,14.9682541,110.0170975,1792.8082275,102.3000031,105.703743,1396.3355713,1430.7659912,49.9000015,
2023-12-23 05:00:00,14.9560747,110.0444565,1781.9483643,102.3000031,105.7093964,1425.5404053,1460.1345215,49.7381973,
2023-12-23 05:10:00,14.9875345,110.0718155,1816.7067871,102.1999969,105.7150421,1483.6060791,1499.762085,49.8637733,
2023-12-23 05:20:00,15.0029173,110.0991745,1815.4090576,102.1999969,105.7206955,1430.4515381,1485.4998779,49.8098488,
