LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,time
13.0512218,137.6084747,1172.9436035,105.0490952,108.1329422,2669.9663086,2652.0227051,50.1556625,2024-06-18 01:50:00
12.9409742,137.6126862,1179.5952148,104.6058197,108.2067184,2763.0688477,2747.1809082,49.9887657,2024-06-18 02:00:00
12.992507,137.6168976,1178.7822266,105.1807632,108.2804871,2684.8439941,2666.1069336,50.0,2024-06-18 02:10:00
13.03018,137.621109,1192.2039795,104.9761276,108.3542633,2708.4372559,2697.6657715,50.1683846,2024-06-18 02:20:00
13.0153399,137.6253204,1166.8648682,105.2286682,108.3961945,2782.3649902,2766.3361816,49.6898613,2024-06-18 02:30:00
13.0107384,137.6295319,1174.2369385,105.0914993,108.3861771,2719.1645508,2711.5632324,49.9000015,2024-06-18 02:40:00
12.9948912,137.633728,1176.407959,105.2158051,108.3761597,2761.9101563,2759.7353516,49.910202,2024-06-18 02:50:00
12.91467,137.6379395,1175.0249023,105.3165436,108.3661423,2732.0686035,2728.5158691,50.0,2024-06-18 03:00:00
12.965435,137.6421509,1181.0537109,105.3538742,108.3561325,2751.6218262,2751.9133301,50.1040268,2024-06-18 03:10:00
13.0320435,137.6463623,1175.1422119,105.1047134,108.3461151,2791.8708496,2792.8708496,49.9778671,2024-06-18 03:20:00
13.0066977,137.6505737,1174.7250977,105.3000031,108.3360977,2737.6975098,2734.3977051,49.9271469,2024-06-18 03:30:00
12.997716,137.6547852,1182.6240234,105.2145386,108.3260803,2805.6882324,2797.6882324,49.9445076,2024-06-18 03:40:00
12.9899998,137.6589813,1168.5255127,105.1999969,108.3160629,2737.3105469,2727.8076172,49.9663086,2024-06-18 03:50:00
12.746356,137.6631927,1177.1027832,104.750679,108.3060455,2996.4799805,2988.8779297,49.819622,2024-06-18 04:00:00
12.9967461,137.6674042,1179.0340576,104.8761063,108.309082,2691.7668457,2672.6884766,50.0102081,2024-06-18 04:10:00
13.0131054,137.6716156,1175.8891602,105.0,108.3319855,2629.3479004,2620.0166016,50.089901,2024-06-18 04:20:00
13.5100002,137.675827,1232.2054443,105.0299759,108.3548889,2724.609375,2723.0354004,50.2275543,2024-06-18 04:30:00
13.4803886,137.6800385,1237.9453125,105.2567062,108.3777847,2663.2880859,2650.388916,49.955719,2024-06-18 04:40:00
13.5469618,137.6842346,1237.1025391,104.9386597,108.3971939,2799.2443848,2789.6567383,49.810257,2024-06-18 04:50:00
13.3230982,137.688446,1235.3878174,104.8688049,108.3034439,2819.4443359,2812.0773926,50.3820229,2024-06-18 05:00:00
13.4789715,137.6926575,1231.1088867,105.2580414,108.3164673,2737.5683594,2732.5683594,49.8891144,2024-06-18 05:10:00
13.5282564,137.6968689,1233.652832,104.9150848,108.3335648,2693.6564941,2693.4848633,50.250103,2024-06-18 05:20:00
13.4342413,137.7010803,1233.7885742,105.0950089,108.3506546,2695.1999512,2697.6401367,49.8895721,2024-06-18 05:30:00
13.5829983,137.7052917,1234.3956299,105.1384125,108.3677521,2710.8862305,2714.2016602,50.0,2024-06-18 05:40:00
13.4829617,137.7095032,1221.2664795,105.0999985,108.3848419,2686.8837891,2686.2185059,49.9000015,2024-06-18 05:50:00
13.5425997,137.7136993,1232.9460449,105.0438156,108.3973236,2728.28125,2726.7958984,49.8223915,2024-06-18 06:00:00
13.4801559,137.7179108,1230.3892822,104.9021988,108.373703,2701.2631836,2699.7453613,50.2900238,2024-06-18 06:10:00
13.4565325,137.7221222,1238.4749756,105.0693741,108.3500824,2720.9226074,2717.145752,49.8766136,2024-06-18 06:20:00
13.5378399,137.7263336,1236.4785156,104.9587021,108.3264618,2692.0146484,2693.0002441,50.1223907,2024-06-18 06:30:00
13.5131874,137.730545,1234.2996826,105.2027435,108.3028412,2683.770752,2677.7797852,49.7204018,2024-06-18 06:40:00
13.4609404,137.7347565,1235.0,105.1506424,108.3349686,2731.9379883,2726.9379883,50.0,2024-06-18 06:50:00
13.4228487,137.7389526,1240.3323975,104.7321014,108.3747025,2822.8901367,2817.6503906,50.3641129,2024-06-18 07:00:00
13.4656048,137.7431641,1245.0,105.1027451,108.4144363,2796.126709,2785.1687012,50.0,2024-06-18 07:10:00
13.4532995,137.7473755,1231.0274658,105.0999985,108.4541702,2730.6037598,2722.8037109,50.2540092,2024-06-18 07:20:00
13.5530348,137.7515869,1232.4276123,105.0999985,108.4939041,2748.6166992,2739.5805664,50.0,2024-06-18 07:30:00
13.43046,137.7557983,1233.7019043,105.3479004,108.533638,2753.7514648,2752.3981934,49.863163,2024-06-18 07:40:00
13.4453039,137.7600098,1233.467041,105.3009338,108.5733719,2772.6640625,2751.2155762,50.1053276,2024-06-18 07:50:00
13.5213871,137.7642059,1248.947876,105.3694458,108.6111832,2810.677002,2802.4538574,49.5999985,2024-06-18 08:00:00
13.4830189,137.7684174,1231.4940186,105.2739334,108.6450806,2838.5339355,2836.2209473,50.2601166,2024-06-18 08:10:00
13.3930082,137.7726288,1251.8988037,105.5999985,108.678978,2886.8823242,2861.369873,49.97229,2024-06-18 08:20:00
13.5037985,137.7768402,1231.5306396,105.5267105,108.7284927,2894.9020996,2865.0285645,49.6601334,2024-06-18 08:30:00
13.4121733,137.7810516,1237.1021729,105.5,108.8034897,2842.2077637,2818.6835938,50.8641319,2024-06-18 08:40:00
13.2606735,137.7852631,1241.2009277,105.4849548,108.8784943,2951.3327637,2929.3327637,50.3366928,2024-06-18 08:50:00
13.1145687,137.7894592,1232.9637451,105.4615555,108.8580475,2945.0400391,2921.5578613,49.8963547,2024-06-18 09:00:00
13.0536804,137.7936707,1243.3059082,105.3390808,108.8000031,3006.4606934,3000.8352051,50.6326485,2024-06-18 09:10:00
13.0844965,137.7978821,1243.0,105.2525406,108.8000031,2979.0578613,2960.8581543,49.0,2024-06-18 09:20:00
13.0100002,137.8135834,1239.2149658,105.0742874,108.7818527,2960.6262207,2952.7253418,52.0190048,2024-06-18 09:30:00
13.1940222,137.8409271,1235.2099609,105.5550613,108.71698,2883.0327148,2880.9277344,50.6922035,2024-06-18 09:40:00
12.9420309,137.8682861,1231.1994629,105.4868011,108.6521149,2839.3608398,2817.8459473,49.3898849,2024-06-18 09:50:00
12.7977123,137.8956299,1232.1088867,105.2055817,108.6211853,2851.9667969,2856.6179199,50.155407,2024-06-18 10:00:00
12.9347954,137.9229736,1228.4664307,105.4076233,108.7289658,2849.890625,2850.638916,50.2198524,2024-06-18 10:10:00
13.1209192,137.9503326,1238.9799805,105.3949356,108.8367538,2858.232666,2851.7973633,49.6472626,2024-06-18 10:20:00
12.7522879,137.9776764,1237.0,105.5761032,109.0770874,2954.2541504,2962.6262207,48.9134483,2024-06-18 10:30:00
12.5247955,138.0050354,1225.526001,105.2835388,108.7714462,2839.6586914,2844.6586914,51.5,2024-06-18 10:40:00
12.2172356,138.0323792,1220.6912842,105.3060532,108.8897705,3147.161377,3149.161377,48.4827156,2024-06-18 10:50:00
12.3434992,138.0597229,1235.2038574,105.4028625,108.6702728,2815.2158203,2821.7434082,51.4918327,2024-06-18 11:00:00
12.1381359,138.0870819,1224.3249512,105.5077057,108.8235092,2946.6796875,2954.6796875,50.8664856,2024-06-18 11:10:00
12.0015669,138.1144257,1239.8924561,105.8076019,108.9455109,3013.5131836,3031.871582,47.5649109,2024-06-18 11:20:00
12.0123377,138.1417694,1234.7030029,105.4425354,108.8278656,2879.420166,2883.420166,52.7039604,2024-06-18 11:30:00
12.0009251,138.1691284,1232.213501,105.5025635,108.8000031,2992.2285156,2994.8740234,49.8821411,2024-06-18 11:40:00
11.8934765,138.1964722,1222.730835,105.6634903,108.8000031,2949.0510254,2959.9348145,48.6447754,2024-06-18 11:50:00
12.1920795,138.2238159,1228.3873291,105.4939041,108.8000031,2838.3657227,2836.3657227,51.4632149,2024-06-18 12:00:00
11.9300823,138.2511749,1227.2199707,105.2299271,108.8000031,2995.4555664,2993.4555664,51.6476936,2024-06-18 12:10:00
12.1201611,138.2785187,1226.0,105.4757767,108.8000031,2887.4973145,2930.6347656,51.6895599,2024-06-18 12:20:00
11.8265095,138.3058777,1234.098999,105.2502213,108.8000031,3022.0144043,3026.1142578,50.7349319,2024-06-18 12:30:00
11.7510452,138.3332214,1235.1755371,105.6999969,108.8000031,2982.7746582,2988.0,48.7211723,2024-06-18 12:40:00
11.7908773,138.3605652,1231.3092041,105.5440521,108.8000031,2975.6530762,2980.8000488,48.494854,2024-06-18 12:50:00
11.7028275,138.3879242,1237.255249,105.566391,108.806076,2887.7995605,2882.6201172,49.0897865,2024-06-18 13:00:00
11.7416668,138.4152679,1231.7686768,105.7928619,108.9020767,2914.291748,2920.4375,49.8164711,2024-06-18 13:10:00
11.8169279,138.4426117,1223.7525635,105.225975,108.9980698,3074.2248535,3083.1218262,50.1526718,2024-06-18 13:20:00
11.9240665,138.4699707,1240.1508789,105.5349884,109.1175995,3041.2087402,3056.5515137,49.2640228,2024-06-18 13:30:00
11.807972,138.4973145,1234.6313477,105.5742569,109.1999969,3074.5236816,3084.5236816,49.9200478,2024-06-18 13:40:00
11.7715092,138.5246582,1239.7763672,105.6033554,109.1999969,3094.1914063,3094.9689941,51.0188866,2024-06-18 13:50:00
11.6252279,138.5520172,1237.4168701,105.4000015,109.1999969,3214.8649902,3224.640625,49.9895782,2024-06-18 14:00:00
11.7453814,138.579361,1230.0809326,105.9000015,109.1784286,3049.5847168,3056.7182617,49.1972961,2024-06-18 14:10:00
11.8204079,138.60672,1234.7880859,105.6552811,109.156044,3002.230957,2990.2629395,50.8223534,2024-06-18 14:20:00
11.8392191,138.6340637,1237.3695068,105.7200394,109.1336594,3122.7421875,3130.177002,49.7999992,2024-06-18 14:30:00
11.8714409,138.6614075,1238.1065674,105.6999969,109.1112671,3058.809082,3066.8952637,50.1368866,2024-06-18 14:40:00
11.8087177,138.6887665,1235.5216064,105.6667938,109.1146011,3133.1364746,3141.1364746,50.4843559,2024-06-18 14:50:00
11.852457,138.7161102,1248.1428223,105.5201111,109.1440125,3180.817627,3174.5776367,49.6050987,2024-06-18 15:00:00
11.8429813,138.743454,1237.5611572,105.7827301,109.1734238,3087.1499023,3089.7390137,49.9964218,2024-06-18 15:10:00
12.0517616,138.770813,1230.4112549,105.7775574,109.1999969,3059.6237793,3062.3696289,50.1102829,2024-06-18 15:20:00
12.2049713,138.7981567,1227.3060303,105.6922379,109.1999969,3044.2568359,3051.4121094,50.9136009,2024-06-18 15:30:00
12.2513676,138.8255005,1232.5560303,105.8687363,109.1751328,3078.0549316,3085.2739258,48.7109756,2024-06-18 15:40:00
12.15378,138.8528595,1237.5296631,105.7899475,109.0806351,3017.8217773,3023.1589355,49.6862946,2024-06-18 15:50:00
